# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9] c_myRDF[10] c_myRDF[11] c_myRDF[12] c_myRDF[13]
200 100
1 0.05 0 0 0 0 0 0 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0 0.0173827 0.000158457 0 0 0 0
9 0.85 0 0 0 0 0 0 0.558179 0.00708858 0 0 0 0
10 0.95 0 0 0 0 0 0 50.1421 0.846229 0 0 0 0
11 1.05 0 0 0 0 0 0 6.28893 0.999553 0 0 0 0
12 1.15 0.00549113 0.000324551 0 0 0 0 0.0174017 1 0 0 0 0
13 1.25 0.0438201 0.00338679 0 0 0 0 0 1 0 0 0 0
14 1.35 0.111638 0.0113975 0 0 0 0 0.0163432 1.00069 0 0 0 0
15 1.45 6.66519 0.484448 0 0 0 0 0.0739742 1.00426 0 0 0 0
16 1.55 3.38441 0.799473 0 0 0 0 0.0491916 1.00688 0 0 0 0
17 1.65 1.68638 0.999717 0.00714552 0.000451852 0 0 0.190712 1.01855 0 0 0 0
18 1.75 0.15441 1.01888 0.124494 0.0090963 0 0 0.635158 1.06143 0 0 0.214864 0.000303704
19 1.85 0.206138 1.04709 0.0701796 0.0141852 0 0 1.00865 1.13574 0 0 18.7714 0.0279296
20 1.95 0.356362 1.1009 0.0554001 0.0184074 0 0 1.2385 1.23276 0 0 17.1 0.0507926
21 2.05 0.659158 1.20744 0.104629 0.0277259 0 0 1.46791 1.35084 0 0 6.6745 0.06
22 2.15 0.84977 1.3633 0.116476 0.0387111 0 0 1.56167 1.48274 0.0278166 5.91829e-05 0 0.06
23 2.25 1.13501 1.59333 0.151342 0.0543185 0 0 1.2177 1.59419 1.51485 0.00357197 0 0.06
