# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9] c_myRDF[10] c_myRDF[11] c_myRDF[12] c_myRDF[13]
200 100
1 0.05 0 0 0 0 0 0 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0 0.636621 0.00743078 0 0 0 0
10 0.95 0 0 0 0 0 0 45.3955 0.747801 0 0 0 0
11 1.05 0 0 0 0 0 0 9.91389 0.995557 0 0 0 0
12 1.15 0 0 0 0 0 0 0.162251 1 0 0 0 0
13 1.25 0.0333494 0.00227976 0 0 0 0 0 1 0 0 0 0
14 1.35 0.106141 0.00944624 0 0 0 0 0.00842332 1.00036 0 0 0 0
15 1.45 6.08048 0.404513 0.224013 0.0111111 0 0 0.0483132 1.00278 0 0 0 0
16 1.55 3.20309 0.688882 0.243301 0.0240476 0 0 0.0605657 1.00613 0 0 0 0
17 1.65 1.97008 0.915423 0.192746 0.0346892 0 0 0.231132 1.02029 0 0 0 0
18 1.75 0.362829 0.96105 0.242661 0.0497619 0 0 0.467339 1.05251 0 0 0 0
19 1.85 0.422584 1.01324 0.216765 0.0638161 0 0 0.662755 1.10237 0 0 9.07842 0.0386442
20 1.95 0.334288 1.06092 0.191094 0.0766402 0 0 0.993053 1.18352 0 0 11.6725 0.0871825
21 2.05 0.537571 1.14573 0.175906 0.0889947 0 0 1.09946 1.28037 0 0 14.4569 0.142288
22 2.15 0.677055 1.26038 0.278295 0.116581 0 0 1.31892 1.40015 0 0 5.01989 0.162731
23 2.25 0.910099 1.43693 0.327255 0.15205 0 0 1.41746 1.53289 0.295202 0.00190219 0.635716 0.166591
