# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3] c_myRDF[4] c_myRDF[5] c_myRDF[6] c_myRDF[7] c_myRDF[8] c_myRDF[9] c_myRDF[10] c_myRDF[11] c_myRDF[12] c_myRDF[13]
200 100
58 5.75 1.14753 29.9556 1.10837 15.451 0 1 1.17745 16.3276 0.949281 0.505535 0.594526 0.563767
59 5.85 1.07497 31.2887 1.0232 16.1138 0 1 1.13606 17.0671 0.758747 0.524315 0.384688 0.574686
60 5.95 1.08007 32.6669 1.02591 16.8109 0 1 1.13583 17.8315 0.59811 0.539265 0.423574 0.586758
61 6.05 1.1212 34.1365 0.993406 17.504 0 1 1.09743 18.5969 0.548956 0.553017 0.430765 0.59899
62 6.15 1.14358 35.6974 0.965846 18.1974 0 1 1.06203 19.3661 0.607619 0.569161 0.528657 0.614284
63 6.25 1.13751 37.303 0.932441 18.8983 0 1 1.02664 20.1349 0.69415 0.588006 0.520794 0.628896
64 6.35 1.07765 38.8827 1.03039 19.6912 0 1 1.03274 20.9297 0.587608 0.604822 0.923922 0.656275
65 6.45 1.04379 40.4644 0.964318 20.4639 0 1 1.00645 21.7329 0.612172 0.622891 0.792468 0.681059
66 6.55 1.06576 42.1206 0.963542 21.2584 0 1 0.994358 22.5502 0.632962 0.64313 0.829024 0.707257
67 6.65 1.06334 43.8154 0.979165 22.1018 0 1 1.04139 23.4408 0.714857 0.667704 0.855259 0.735556
68 6.75 1.06395 45.5625 1.03101 23.0167 0 1 1.06678 24.3746 0.89932 0.699952 0.819998 0.763941
69 6.85 1.05998 47.3452 1.05134 23.969 0 1 1.04081 25.3052 0.93905 0.73447 0.813583 0.791992
70 6.95 1.06103 49.1905 1.06178 24.9722 0 1 1.01861 26.2474 0.905316 0.76788 0.826575 0.821045
71 7.05 1.01436 51.0061 1.04523 25.9862 0 1 0.996732 27.2052 0.857899 0.799613 0.982971 0.857449
72 7.15 1.00567 52.8668 1.05194 27.015 0 1 1.01133 28.201 0.969004 0.836481 1.16735 0.903403
73 7.25 1.00183 54.7704 1.08434 28.1001 0 1 1.02862 29.2385 1.17845 0.882663 1.27049 0.952034
74 7.35 0.98639 56.6992 1.07058 29.2019 0 1 1.01846 30.2963 1.11493 0.927333 1.28074 1.00196
75 7.45 1.01926 58.7484 1.06502 30.3347 0 1 1.04528 31.4065 1.27445 0.979044 1.02693 1.04464
76 7.55 1.01467 60.8399 1.09414 31.5298 0 1 1.06084 32.5628 1.28302 1.03196 1.23937 1.09651
77 7.65 0.981819 62.926 1.12028 32.7771 0 1 1.05771 33.7506 1.3644 1.08928 1.22909 1.14924
78 7.75 0.972367 65.0354 1.06864 33.9974 0 1 1.01768 34.9231 1.36119 1.14786 1.12098 1.19753
79 7.85 0.994497 67.2474 1.00925 35.1755 0 1 1.00239 36.1067 1.30451 1.20584 1.08068 1.24634
80 7.95 0.993913 69.503 1.03677 36.4183 0 1 1.00828 37.326 1.08671 1.2549 1.16872 1.29979
81 8.05 0.976115 71.7824 0.993985 37.6522 0 1 1.01641 38.5841 1.19188 1.31031 1.11861 1.3495
82 8.15 0.969761 74.1031 0.991428 38.9146 0 1 0.987033 39.8367 1.27576 1.37246 1.25911 1.40696
83 8.25 1.00074 76.5606 0.984275 40.1988 0 1 1.00066 41.132 1.25317 1.43481 1.10833 1.45987
84 8.35 0.997486 79.0647 0.995198 41.5161 0 1 1.0004 42.4692 1.24754 1.49784 1.15501 1.51776
85 8.45 0.963878 81.56 0.94496 42.7943 0 1 0.991569 43.821 1.33076 1.56784 1.06799 1.57323
86 8.55 0.967711 84.1319 0.965649 44.1415 0 1 0.979373 45.1876 1.19297 1.63139 1.09364 1.63135
87 8.65 0.958278 86.7277 0.999882 45.5699 0 1 0.973053 46.5752 1.15004 1.69275 1.1329 1.69287
88 8.75 0.956227 89.3816 0.969367 46.9898 0 1 0.944408 47.9562 1.18967 1.75723 1.14607 1.75722
89 8.85 0.94526 92.0644 0.937254 48.3975 0 1 0.940622 49.3658 1.03568 1.8145 0.919822 1.81092
90 8.95 0.947448 94.797 0.906081 49.7926 0 1 0.934688 50.8048 1.05157 1.87332 1.03497 1.87078
91 9.05 0.961967 97.6392 0.9232 51.237 0 1 0.948684 52.2969 1.1126 1.93836 1.05319 1.93298
92 9.15 0.974567 100.575 0.920367 52.7174 0 1 0.947048 53.8149 1.03558 2.0011 0.895474 1.98842
93 9.25 0.942968 103.481 0.942333 54.2553 0 1 0.929518 55.3349 1.04084 2.06389 0.918371 2.04642
94 9.35 0.917758 106.38 0.934996 55.7974 0 1 0.91941 56.879 0.999929 2.12597 1.14643 2.11906
95 9.45 0.941003 109.421 0.898493 57.3382 0 1 0.928247 58.4717 1.08532 2.19452 1.12128 2.19107
96 9.55 0.936855 112.51 0.899272 58.919 0 1 0.906124 60.0524 1.07207 2.2637 1.15216 2.26545
97 9.65 0.918773 115.597 0.886066 60.5062 0 1 0.910905 61.6757 1.07838 2.33644 1.08936 2.33643
98 9.75 0.914634 118.733 0.928584 62.1919 0 1 0.915476 63.3406 1.0173 2.40659 1.00359 2.40449
99 9.85 0.911177 121.922 0.981515 64.019 0 1 0.912517 65.0363 1.00333 2.4783 0.929887 2.46844
100 9.95 0.896019 125.12 0.913649 65.7648 0 1 0.913146 66.7693 0.959754 2.54769 0.992254 2.53687
400 100
1 0.05 0 0 0 0 0 0 0 0 0 0 0 0
2 0.15 0 0 0 0 0 0 0 0 0 0 0 0
3 0.25 0 0 0 0 0 0 0 0 0 0 0 0
4 0.35 0 0 0 0 0 0 0 0 0 0 0 0
5 0.45 0 0 0 0 0 0 0 0 0 0 0 0
6 0.55 0 0 0 0 0 0 0 0 0 0 0 0
7 0.65 0 0 0 0 0 0 0 0 0 0 0 0
8 0.75 0 0 0 0 0 0 0 0 0 0 0 0
9 0.85 0 0 0 0 0 0 0.305787 0.00375741 0 0 0 0
10 0.95 0 0 0 0 0 0 53.2376 0.913161 0 0 0 0
11 1.05 0 0 0 0 0 0 3.44377 0.998924 0 0 0 0
12 1.15 0 0 0 0 0 0 0.0349187 1 0 0 0 0
13 1.25 0 0 0 0 0 0 0 1 0 0 0 0
14 1.35 0.0143569 0.000774074 0 0 0 0 0 1 0 0 0 0
15 1.45 5.95274 0.409359 0 0 0 0 0 1 0 0 0 0
16 1.55 5.0272 0.880493 0 0 0 0 0.0131753 1.00074 0 0 1.21663 0.00256464
17 1.65 0.635334 0.954889 0 0 0 0 0.224539 1.0148 0 0 9.93291 0.0258281
18 1.75 0.264947 0.988767 0 0 0 0 0.762228 1.06774 0 0 10.8592 0.0526555
19 1.85 0.260584 1.02419 0 0 0 0 1.04139 1.14599 0 0 8.99756 0.0745912
